Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_BALLOT PAPER SET APART_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
34,False,False,20-05-1991,176,992,True,0,0,0,0,0,0,0,0,0,13,0,13,10,0,10,20,9,45.0,JD,MOHAMMAD RIZWANULHAQ,31787.0,BJP,SHIV KUMAR SINGH,26570.0,8,0,0.0,95988,78659,174647,0,0,0,95988,78659,174647,12,0,0.0,59579,40388,99967,0,0,0,59579,40388,99967,12,0,0.0,99967,96208,3750,9,0,0,12,0,0.0
35,False,False,20-05-1991,174,996,True,0,0,0,0,0,0,0,0,0,15,0,15,13,0,13,20,9,45.0,BJP,SARVESH KUMAR URF RAKESH KUMAR,60276.0,JP,MOHAMMAD ULLA KHAN,26040.0,8,0,0.0,95452,77863,173315,0,0,0,95452,77863,173315,12,0,0.0,67671,42783,110454,0,0,0,67671,42783,110454,12,0,0.0,110454,106285,4169,0,0,0,12,0,0.0
36,False,False,20-05-1991,214,919,True,0,0,0,0,0,0,0,0,0,19,0,19,16,0,16,20,9,45.0,BJP,SHIV BHAADUR,44138.0,INC,NISAR HUSAIN,32609.0,8,0,0.0,108136,88461,196597,0,0,0,108136,88461,196597,12,0,0.0,76127,42952,119079,0,0,0,76127,42952,119079,12,0,0.0,119079,115192,3887,0,0,0,12,0,0.0
37,False,False,20-05-1991,240,848,True,0,0,0,0,0,0,0,0,0,27,0,27,24,0,24,20,9,45.0,JP,MOHAMMAD AZAM KHAN,27318.0,BJP,JOGESH CHANDRA ARORA,24684.0,8,0,0.0,111925,91561,203486,0,0,0,111925,91561,203486,12,0,0.0,62039,40401,102440,0,0,0,62039,40401,102440,12,0,0.0,102440,98098,4342,0,0,0,12,0,0.0
38,False,False,20-05-1991,229,947,True,0,0,0,0,0,0,0,0,0,24,1,25,21,1,22,20,9,45.0,BJP,JWALA PRASAD,29074.0,JP,GAINI HARINDER SINGH,24016.0,8,0,0.0,119316,97595,216911,0,0,0,119316,97595,216911,12,0,0.0,80588,51523,132111,0,0,0,80588,51523,132111,12,0,0.0,132111,124168,7943,0,0,0,12,0,0.0
39,False,False,20-05-1991,201,942,True,0,0,0,0,0,0,0,0,0,10,1,11,7,1,8,20,9,45.0,BJP,SWAMI PARMANAND DANDI,33679.0,INC,CHANDRA PAL SINGH,26610.0,8,0,0.0,104120,85184,189304,0,0,0,104120,85184,189304,12,0,0.0,64449,30989,95438,0,0,0,64449,30989,95438,12,0,0.0,95438,90840,4598,0,0,0,12,0,0.0
40,False,False,20-05-1991,163,1024,True,0,0,0,0,0,0,0,0,0,12,0,12,9,0,9,20,9,45.0,JD,KRISHNA VIR SINGH,24812.0,INC,YOGENDRA KUMAR,24503.0,8,0,0.0,91021,75949,166970,0,0,0,91021,75949,166970,12,0,0.0,58392,34302,92694,0,0,0,58392,34302,92694,12,0,0.0,92694,89438,3256,0,0,0,12,0,0.0
41,False,False,20-05-1991,174,1014,True,0,0,0,0,0,0,0,0,0,12,2,14,11,0,11,20,9,45.0,JD,RAM KHILARI,25344.0,JP,PREM WATI,17561.0,8,0,0.0,96936,79439,176375,0,0,0,96936,79439,176375,12,0,0.0,61355,25461,86816,0,0,0,61355,25461,86816,12,0,0.0,86816,82671,4145,0,0,0,12,0,0.0
42,False,False,20-05-1991,176,1012,True,0,0,0,0,0,0,0,0,0,14,0,14,11,0,11,20,9,45.0,JD,OMKAR SINGH,42416.0,JP,MEER MAZHAR ALI URF NANHEY MIAN,20307.0,8,0,0.0,97783,80343,178126,0,0,0,97783,80343,178126,12,0,0.0,59716,38177,97893,0,0,0,59716,38177,97893,12,0,0.0,97893,93205,4688,0,0,0,12,0,0.0
43,False,False,20-05-1991,155,1066,True,0,0,0,0,0,0,0,0,0,15,0,15,13,0,13,20,9,45.0,INC,BHOLA SHANKER MORYA,31546.0,BJP,HIRA LAL,31430.0,8,0,0.0,90831,74476,165307,0,0,0,90831,74476,165307,12,0,0.0,54108,33162,87270,0,0,0,54108,33162,87270,12,0,0.0,87270,82798,4472,0,0,0,12,0,0.0
44,False,False,20-05-1991,195,975,True,0,0,0,0,0,0,0,0,0,22,0,22,20,0,20,20,9,45.0,BJP,KRISHNA SWARUP,41123.0,JD,KHALID PARWEZ,32273.0,8,0,0.0,101774,88409,190183,0,0,0,101774,88409,190183,12,0,0.0,57909,43677,101586,0,0,0,57909,43677,101586,12,0,0.0,101586,98416,3170,0,0,0,12,0,0.0
45,False,False,20-05-1991,167,1019,True,0,0,0,0,0,0,0,0,0,15,1,16,12,0,12,20,9,45.0,JP,BANWARI SINGH,24340.0,BJP,BRIJ PAL SINGH,24290.0,8,0,0.0,94137,76080,170217,0,0,0,94137,76080,170217,12,0,0.0,55150,35252,90402,0,0,0,55150,35252,90402,12,0,0.0,90402,86009,4393,0,0,0,12,0,0.0
46,False,False,20-05-1991,170,1010,True,0,0,0,0,0,0,0,0,0,17,0,17,15,0,15,20,9,45.0,BJP,RAM SEWAK,46381.0,INC,MOHD. ABRAR AHMED,15885.0,8,0,0.0,94612,77133,171745,0,0,0,94612,77133,171745,12,0,0.0,58503,35946,94449,0,0,0,58503,35946,94449,12,0,0.0,94449,90417,4032,0,0,0,12,0,0.0
