Constituency_No,Uncontested,Women_Col_Forced,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
373,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,SOC,RADHEY SHYAM,16669.0,INC,LAKSHMI RAMAN ACHARYA,15079.0,8,0,0.0,87089,0,87089,0,0,0,87089,0,87089,9,2,22.22222222222222,48308,0,48308,0,0,0,48308,0,48308,9,2,22.22222222222222,48308,45470,2834,4,0,10,0,0.0
374,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,KANHAIYA LAL,13392.0,JS,RAJA RAM,5963.0,8,0,0.0,83932,0,83932,0,0,0,83932,0,83932,9,2,22.22222222222222,34338,0,34338,0,0,0,34338,0,34338,9,2,22.22222222222222,34338,31977,2361,0,0,10,0,0.0
375,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,ASHRAF ALI KHAN,17934.0,IND,CHANDRA PAL,9015.0,8,0,0.0,84814,0,84814,0,0,0,84814,0,84814,9,2,22.22222222222222,45820,0,45820,0,0,0,45820,0,45820,9,2,22.22222222222222,45820,43427,2393,0,0,10,0,0.0
376,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,NAND KUMAR DEO VASHISTHA,11374.0,CPI,GAJADHAR SINGH,7105.0,8,0,0.0,85372,0,85372,0,0,0,85372,0,85372,9,2,22.22222222222222,42825,0,42825,0,0,0,42825,0,42825,9,2,22.22222222222222,42825,40025,2800,0,0,10,0,0.0
377,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,RAM PRASAD DESHMUKH,13351.0,REP,MEWA RAM,10564.0,8,0,0.0,91820,0,91820,0,0,0,91820,0,91820,9,2,22.22222222222222,33440,0,33440,0,0,0,33440,0,33440,9,2,22.22222222222222,33440,32123,1317,0,0,10,0,0.0
378,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,NEK RAM SHARMA,31470.0,JS,NEM SINGH CHAUHAN,18424.0,8,0,0.0,94060,0,94060,0,0,0,94060,0,94060,9,2,22.22222222222222,59763,0,59763,0,0,0,59763,0,59763,9,2,22.22222222222222,59763,57157,2606,0,0,10,0,0.0
379,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,INC,SRI NIWAS,18323.0,SOC,ANISUL REHMAN SHERWANI,11194.0,8,0,0.0,98094,0,98094,0,0,0,98094,0,98094,9,2,22.22222222222222,58539,0,58539,0,0,0,58539,0,58539,9,2,22.22222222222222,58539,55617,2922,0,0,10,0,0.0
380,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,SOC,BABU SINGH,20999.0,JS,KALYAN SINGH,13439.0,8,0,0.0,97068,0,97068,0,0,0,97068,0,97068,9,2,22.22222222222222,60414,0,60414,0,0,0,60414,0,60414,9,2,22.22222222222222,60414,57052,3362,0,0,10,0,0.0
381,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,REP,ABDUL BASIR KHAN,21909.0,INC,ANANT RAM VERMA,16164.0,8,0,0.0,79205,0,79205,0,0,0,79205,0,79205,9,2,22.22222222222222,54057,0,54057,0,0,0,54057,0,54057,9,2,22.22222222222222,54057,51308,2749,0,0,10,0,0.0
382,False,True,2/19/1962,-1,-1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,75.0,REP,BHOOP SINGH,12918.0,JS,RAM SINGH,11469.0,8,0,0.0,85638,0,85638,0,0,0,85638,0,85638,9,2,22.22222222222222,37586,0,37586,0,0,0,37586,0,37586,9,2,22.22222222222222,37586,35008,2578,0,0,10,0,0.0
